date,station_id,precip_mm,mflag,qflag,sflag,excluded
1991-01-19,USW00012928,0.0,,,X,False
1991-01-20,USC00410639,,P,,0,True
1991-01-20,USC00410690,,P,,0,True
1991-01-20,USC00411337,,P,,0,True
1991-01-20,USC00411720,0.0,T,,0,False
1991-01-20,USC00413063,0.0,,,0,False
1991-01-20,USC00413341,,P,,0,True
1991-01-20,USC00413508,,P,,0,True
1991-01-20,USC00414810,,P,,0,True
1991-01-20,USC00415661,,P,,0,True
1991-01-20,USC00417677,0.0,,,0,False
1991-01-20,USC00417704,0.0,,,0,False
1991-01-20,USC00418081,,P,,0,True
1991-01-20,USC00419007,0.0,,,0,False
1991-01-20,USC00419559,,P,,0,True
1991-01-20,USC00419717,0.0,,,0,False
1991-01-20,USW00012924,0.0,,,0,False
1991-01-20,USW00012926,0.0,,,X,False
1991-01-20,USW00012928,0.0,,,X,False
1991-01-21,USC00410639,,P,,0,True
1991-01-21,USC00410690,,P,,0,True
1991-01-21,USC00411337,,P,,0,True
1991-01-21,USC00411720,0.0,,,0,False
1991-01-21,USC00413063,0.0,,,0,False
1991-01-21,USC00413341,,P,,0,True
1991-01-21,USC00413508,,P,,0,True
1991-01-21,USC00414810,,P,,0,True
1991-01-21,USC00415661,,P,,0,True
1991-01-21,USC00417677,0.0,,,0,False
1991-01-21,USC00417704,0.0,,,0,False
1991-01-21,USC00418081,,P,,0,True
1991-01-21,USC00419007,0.0,,,0,False
1991-01-21,USC00419559,,P,,0,True
1991-01-21,USC00419717,0.0,T,,0,False
1991-01-21,USW00012924,0.0,,,0,False
1991-01-21,USW00012926,0.0,,,X,False
1991-01-21,USW00012928,0.0,,,X,False
1991-01-22,USC00410639,,P,,0,True
1991-01-22,USC00410690,,P,,0,True
1991-01-22,USC00411337,,P,,0,True
1991-01-22,USC00411720,0.0,,,0,False
1991-01-22,USC00413063,0.0,,,0,False
1991-01-22,USC00413341,0.0,T,,0,False
1991-01-22,USC00413508,,P,,0,True
1991-01-22,USC00414810,,P,,0,True
1991-01-22,USC00415661,,P,,0,True
1991-01-22,USC00417677,0.0,,,0,False
1991-01-22,USC00417704,0.0,,,0,False
1991-01-22,USC00418081,,P,,0,True
1991-01-22,USC00419007,0.0,,,0,False
1991-01-22,USC00419559,,P,,0,True
1991-01-22,USC00419717,0.0,T,,0,False
1991-01-22,USW00012924,0.0,,,0,False
1991-01-22,USW00012926,0.0,,,X,False
1991-01-22,USW00012928,0.0,,,X,False
1991-01-23,USC00410639,1.0,,,0,False
1991-01-23,USC00410690,3.8,,,0,False
1991-01-23,USC00411337,,P,,0,True
1991-01-23,USC00411720,0.3,,,0,False
1991-01-23,USC00413063,0.0,,,0,False
1991-01-23,USC00413341,,P,,0,True
1991-01-23,USC00413508,,P,,0,True
1991-01-23,USC00414810,,P,,0,True
1991-01-23,USC00415661,,P,,0,True
1991-01-23,USC00417677,0.0,,,0,False
1991-01-23,USC00417704,1.5,,,0,False
1991-01-23,USC00418081,,P,,0,True
1991-01-23,USC00419007,4.6,,,0,False
1991-01-23,USC00419559,9.1,,,0,False
1991-01-23,USC00419717,3.6,,,0,False
1991-01-23,USW00012924,1.3,,,0,False
1991-01-23,USW00012926,1.3,,,X,False
1991-01-23,USW00012928,1.5,,,X,False
1991-01-24,USC00410639,4.8,,,0,False
1991-01-24,USC00410690,,P,,0,True
1991-01-24,USC00411337,,P,,0,True
1991-01-24,USC00411720,3.3,,,0,False
1991-01-24,USC00413063,0.5,,,0,False
1991-01-24,USC00413341,,,,,True
1991-01-24,USC00413508,2.8,,,0,False
1991-01-24,USC00414810,,P,,0,True
1991-01-24,USC00415661,3.8,,,0,False
1991-01-24,USC00417677,5.3,,,0,False
1991-01-24,USC00417704,0.0,,,0,False
1991-01-24,USC00418081,0.5,,,0,False
1991-01-24,USC00419007,0.0,,,0,False
1991-01-24,USC00419559,0.3,,,0,False
1991-01-24,USC00419717,0.0,,,0,False
1991-01-24,USW00012924,0.8,,,0,False
1991-01-24,USW00012926,1.0,,,X,False
